[26 авг 19:09:07] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_admin [target: null]
[26 авг 19:09:10] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_show_moves [target: null]
[26 авг 19:09:14] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_show_html tele/arenas.htm [target: null]
[26 авг 19:09:16] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_move_to -88136 -253224 -3340 [target: null]
[27 авг 11:31:03] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_admin [target: null]
[27 авг 11:31:08] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_invis [target: null]
[27 авг 11:31:08] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_admin [target: null]
[27 авг 11:31:09] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_vis [target: null]
[27 авг 11:31:10] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_admin [target: null]
[27 авг 11:31:12] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_invul [target: null]
[27 авг 11:31:13] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_admin [target: null]
[27 авг 11:31:14] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_vis [target: null]
